iter	RMSE
0	0.158615511
1	0.1557446689
2	0.1527504868
3	0.1499212385
4	0.1473053806
5	0.1448014114
6	0.1426121788
7	0.1403274692
8	0.138092184
9	0.1356312545
10	0.133385776
11	0.1312776814
12	0.1293167885
13	0.1272948128
14	0.125465248
15	0.1237448329
16	0.1219428366
17	0.1201076505
18	0.1183916873
19	0.116473035
20	0.114890319
21	0.1132023276
22	0.1116044799
23	0.1100641791
24	0.1085155322
25	0.1070526039
26	0.1056020601
27	0.1042437759
28	0.103021753
29	0.1017110468
30	0.1003479268
31	0.09910346781
32	0.0978012065
33	0.0966691333
34	0.09543910805
35	0.09434590775
36	0.09335443087
37	0.09238234118
38	0.09142470642
39	0.09054169357
40	0.08937267154
41	0.08850712812
42	0.08754399467
43	0.08669213626
44	0.08571965975
45	0.08493824363
46	0.08408558305
47	0.08336846033
48	0.08264372992
49	0.08179771542
50	0.08113997175
51	0.0803794193
52	0.0796871416
53	0.07908944654
54	0.07858469468
55	0.07811755789
56	0.07760456408
57	0.07703721813
58	0.07645971041
59	0.07594029591
60	0.07537845931
61	0.07485236514
62	0.07423881494
63	0.07381226263
64	0.07333683135
65	0.07275772061
66	0.07235910788
67	0.07181944359
68	0.07144496603
69	0.07094447217
70	0.07056545592
71	0.0702680556
72	0.06986278131
73	0.06939679998
74	0.06908221769
75	0.0687213124
76	0.06819829349
77	0.06784453039
78	0.06739867696
79	0.06703326941
80	0.06664673545
81	0.06639578036
82	0.06596391032
83	0.06564905161
84	0.06532026495
85	0.0649764728
86	0.06461517289
87	0.06435119053
88	0.06402701279
89	0.06392212891
90	0.06362793561
91	0.06337389475
92	0.0631160326
93	0.06278430926
94	0.06254811552
95	0.06231256239
96	0.06208125135
97	0.06183265371
98	0.06147237837
99	0.06126851573
100	0.0610201289
101	0.06077928552
102	0.06064693807
103	0.06043273066
104	0.06032398037
105	0.06018783026
106	0.05989656977
107	0.05971572806
108	0.05946398738
109	0.05921818143
110	0.05914687658
111	0.05895078226
112	0.05875574365
113	0.05851936815
114	0.0583398719
115	0.05817052791
116	0.05803574037
117	0.05769685573
118	0.05758719179
119	0.05732706523
120	0.05719071445
121	0.05700506747
122	0.05679881208
123	0.05655603051
124	0.0563187785
125	0.05623679273
126	0.05600928617
127	0.05579231118
128	0.055708108
129	0.05557775288
130	0.05550275945
131	0.0553221709
132	0.05513209819
133	0.05490803627
134	0.05472260459
135	0.05463969846
136	0.05452277691
137	0.05436325239
138	0.0542613596
139	0.05403347341
140	0.05383593103
141	0.05364433695
142	0.05347488107
143	0.05338616353
144	0.05326230539
145	0.05316476105
146	0.05290660717
147	0.05277918425
148	0.05268108519
149	0.05261751121
150	0.05254909008
151	0.05240332467
152	0.05236485028
153	0.05222153599
154	0.05201281466
155	0.05196017299
156	0.05172794353
157	0.05169447027
158	0.05147190196
159	0.05140870547
160	0.05134606868
161	0.0512560836
162	0.05104068614
163	0.0508895954
164	0.05069354574
165	0.0504737632
166	0.05030940619
167	0.05016374552
168	0.05009010296
169	0.04997960176
170	0.04978916468
171	0.04963029021
172	0.049537188
173	0.04942589648
174	0.04920923118
175	0.04903893872
176	0.04885801373
177	0.04871200343
178	0.04862060102
179	0.04849013485
180	0.04838077308
181	0.04829331843
182	0.04819521941
183	0.04811349606
184	0.04803662844
185	0.04792963104
186	0.04779854179
187	0.04772146056
188	0.04761785056
189	0.047487469
190	0.04733005515
191	0.04719006534
192	0.0470413661
193	0.04689593526
194	0.04674726594
195	0.04661770534
196	0.04653879506
197	0.04650080626
198	0.04641140777
199	0.04633080834
200	0.04628442324
201	0.04618355816
202	0.04606165145
203	0.04602415099
204	0.04592078101
205	0.04585616846
206	0.04578264057
207	0.04564487718
208	0.04559571164
209	0.04544879093
210	0.04541405798
211	0.04536566232
212	0.0453269291
213	0.04515457474
214	0.04505801534
215	0.0450104681
216	0.04493713549
217	0.04488536264
218	0.044793505
219	0.0447573296
220	0.04466204665
221	0.04461598205
222	0.04456689991
223	0.04449927028
224	0.04443348828
225	0.04435200661
226	0.04425066205
227	0.04418782305
228	0.04412820306
229	0.04406999508
230	0.04401095102
231	0.04400088384
232	0.0438417148
233	0.04375897609
234	0.04367945615
235	0.04359752305
236	0.04351897038
237	0.04349188243
238	0.04345286673
239	0.04336319452
240	0.0433025237
241	0.04326335238
242	0.0431532903
243	0.04298209535
244	0.04294301945
245	0.04292680573
246	0.04285475594
247	0.04274828553
248	0.04265229567
249	0.04257466196
250	0.04255982666
251	0.0423734999
252	0.04225872959
253	0.04218926037
254	0.04214645164
255	0.0420524439
256	0.04196482363
257	0.04191926326
258	0.04186980951
259	0.04179635642
260	0.04168773111
261	0.04166017481
262	0.04164938588
263	0.04150904456
264	0.04147898699
265	0.04144916419
266	0.04135450996
267	0.04116749962
268	0.04111234445
269	0.04102229527
270	0.04096860144
271	0.04093090229
272	0.04085999809
273	0.04079533951
274	0.04072626527
275	0.04064386868
276	0.04062934084
277	0.04060115605
278	0.04055798595
279	0.04054315883
280	0.04040841155
281	0.04036154275
282	0.04023668486
283	0.04022103736
284	0.04019630013
285	0.04011665695
286	0.04007248751
287	0.0399761841
288	0.03995558878
289	0.03988610775
290	0.03981354197
291	0.03980487879
292	0.03970041996
293	0.03969225997
294	0.03968297157
295	0.03962234021
296	0.03950846223
297	0.03948066562
298	0.03942349258
299	0.03940206756
300	0.03930186486
301	0.03928099312
302	0.03922256349
303	0.03914492716
304	0.03901222851
305	0.03890650448
306	0.03884875232
307	0.03881320617
308	0.03880084829
309	0.0387684904
310	0.03875203282
311	0.0386290979
312	0.03853347772
313	0.03848309206
314	0.03846239214
315	0.03833418841
316	0.0383030165
317	0.0381609006
318	0.03811527567
319	0.03799193717
320	0.03791952903
321	0.03777691856
322	0.03776574418
323	0.03762090154
324	0.03755213062
325	0.03752828234
326	0.03746565473
327	0.03744452727
328	0.03732087783
329	0.03718105415
330	0.03706479236
331	0.03702272654
332	0.03688058939
333	0.0368437681
334	0.03678885412
335	0.03673315758
336	0.03669741787
337	0.03661879026
338	0.03646301722
339	0.03641037126
340	0.03632628595
341	0.0362489997
342	0.03620938182
343	0.03616077562
344	0.03613198983
345	0.03609960619
346	0.03605106871
